id,nombre,descripcion,lat,lng,type
16,Casa Rosada,"La Casa Rosada es la sede del Poder Ejecutivo de la República Argentina. Dentro de la misma se encuentra el despacho del presidente de la Nación Argentina.

Este edificio se localiza en la calle Balcarce 50, en el barrio de Monserrat en la Ciudad de Buenos Aires, frente a la histórica Plaza de Mayo. Su color característico es rosado y es considerado uno de los edificios más emblemáticos de Buenos Aires. Alberga además el Museo de la Casa de Gobierno, con objetos relacionados con los presidentes del país. En 1942 fue declarada Monumento Histórico Nacional.",-34.608029,-58.370289,Monumentos
17,Pirámide de Mayo,"La Pirámide de Mayo es el primer monumento patrio que tuvo la Ciudad de Buenos Aires (Argentina). Actualmente se encuentra en el centro de la Plaza de Mayo. Su historia comienza en marzo de 1811 cuando la Junta Grande decidió mandar a construir un monumento del lado oeste de la plaza, para celebrar el primer aniversario de la Revolución de Mayo.

En 1856, bajo la dirección del artista Prilidiano Pueyrredón, se la transformó construyendo una nueva pirámide sobre los cimientos de la anterior, que es la que se observa actualmente.

En 1912, después de haber sufrido algunas modificaciones, se la trasladó al sitio actual, 63 m más al este de donde se encontraba originalmente, pues se pensaba erigir un enorme monumento que la contuviera en su interior.

La escultura de la Libertad, obra del escultor francés Joseph Dubourdieu, corona al monumento que, desde el suelo hasta la parte superior del gorro frigio de dicha escultura, ha servido de modelo para la alegoría de la Argentina, y mide 18,76 m.",-34.608435,-58.372247,Monumentos
18,Catedral Metropolitana,"La Catedral Metropolitana de Buenos Aires (de la Santísima Trinidad) es el principal templo católico de Argentina. Se encuentra ubicada en el barrio porteño de San Nicolás, en la intersección de la calle San Martín y la avenida Rivadavia, en frente a la Plaza de Mayo.",-34.607534,-58.373279,Arte y Cultura
19,Riachuelo,"El río Matanza-Riachuelo, llamado Riachuelo en su desembocadura y río Matanza en la mayor parte de su desarrollo, es un curso de agua de 64 km al Este de Argentina, que nace en la provincia de Buenos Aires, constituye el límite Sur de la ciudad autónoma de Buenos Aires y desemboca en el Río de la Plata. Esta desembocadura origina el nombre del barrio porteño de La Boca. La Cuenca Matanza-Riachuelo se encuentra localizada al noreste de la provincia de Buenos Aires. Tiene una longitud aproximada de 60 km y una dirección general Sudoeste-Noreste, y un ancho medio de 35 m, cubriendo una superficie de 2200 km² hasta la desembocadura en el Río de La Plata.",-34.639653,-58.361651,Rio
20,Fundacion Proa,"La Fundación Proa es un centro privado de arte fundado en Argentina en 1996, que desarrolla programas de educación y de intercambio con instituciones culturales. Su foco está centrado en la difusión de los grandes movimientos artísticos del siglo XX.",-34.639683,-58.362037,Arte y Cultura
21,Caminito,"Caminito es un callejón museo y un pasaje tradicional, de gran valor cultural y turístico, ubicado en el barrio de La Boca de la Ciudad de Buenos Aires, Argentina. El lugar adquirió significado cultural debido a que inspiró la música del famoso tango Caminito (1926), compuesta por Juan de Dios Filiberto.

Por el contrario, la letra del conocido tango, escrita por el riojano Gabino Coria Peñaloza, está inspirada en un sendero de la localidad de Olta, en la provincia de La Rioja. Por esta razón y en homenaje a Coria Peñaloza, en 1971 una calle de la localidad de Chilecito, recibió también el nombre de ""Caminito"".",-34.639253,-58.362723,Arte y Cultura
22,El Rincón de Lucía,Es un museo que muestra cómo vivían los primeros inmigrantes en la mitad del siglo XIX. ,-34.639338,-58.36269,Arte y Cultura
23,Plaza Dorrego,"Plaza Dorrego es el nombre con que popularmente se designa a la Plaza Coronel Manuel Dorrego. Se encuentra en el corazón del barrio de San Telmo, en Buenos Aires, Argentina y ocupa un cuarto de manzana. Está delimitada por las calles Humberto I° y Defensa y por dos cortadas: Una paralela a Humberto I° llamada Bethlem, y otra paralela a Defensa con el nombre del bandoneonista y compositor de tango Anselmo Aieta.

Antiguamente a este lugar se lo denominaba Hueco del Alto o Alto de las carretas, pues era allí donde los carros tirados por bueyes se detenían antes de cruzar el arroyo Tercero del Sur (hoy calle Defensa y Pasaje San Lorenzo) en su trayecto al centro de la ciudad. Posteriormente su nombre cambió por Alto de San Pedro, y luego Plaza del Comercio (1822), entre otros. En 1900, el nombre de la plaza cambió por el actual.

Actualmente constituye uno de los principales paseos turísticos peatonales de Buenos Aires. A su alrededor se encuentran cafés, bares y pubs con sus mesas sobre la plaza; y también casas de antigüedades y artesanías. Abundan los shows de músicos y baile callejero, incluyendo exhibiciones de tango. Los domingos tiene lugar la Feria de antigüedades de San Pedro Telmo, ""Arquitecto José María Peña"", durante la cual la plaza Dorrego es ocupada por puestos de antigüedades y curiosidades que son recorridos por numerosos turistas tanto del país como del extranjero y que contribuyen a darle a esa zona del barrio una fisonomía muy particular.

Los edificios que se encuentran alrededor de la plaza mantienen su aspecto original gracias al apoyo de la Comisión del Museo de la Ciudad.

En 1978 la plaza fue declarada Lugar Histórico debido a que en su sitio el pueblo de Buenos Aires adhirió a la Declaración de independencia de la Argentina.",-34.620493,-58.371756,Parques
24,La Casa Minima,"En la ciudad de Buenos Aires, Argentina se conoce como la casa mínima a una vivienda ubicada en el número 380 del Pasaje San Lorenzo, barrio de San Telmo. Con sólo 2,5 metros de ancho y 13 metros de profundidad, tiene la particularidad de ser la más angosta de la ciudad.

Tiene una fachada exterior lisa, con una pequeña entrada y una puerta pintada de verde atravesada por una cerradura de hierro. Mantiene sus paredes de barro cocido y otros elementos originales.En la planta superior asoma un balconcito con barrotes verticales de hierro, desde donde se esconde una ventana de dos hojas simétricas y dos cortinas iguales pliegue a pliegue. Por sobre la cornisa aparecen algunas plantas que dejan ver los cimientos a través de los viejos y descascarados materiales.",-34.616682,-58.371284,Arte y Cultura
25,Paseo de la Historieta,"Todo aquel que visite el barrio de San Telmo puede recorrer al Paseo de la historieta donde esperan los más queridos y recordados personajes. A lo largo de unas cuadras murales y figuras de gran tamaño rinden tributo a las historietas más famosas del país. El recorrido invita a caminar por estas calles y encontrarse con Largirucho, Isidoro Cañones, Matías o Mafalda y revivir las imágenes de Clemente, Inodoro Pereyra, Anteojito o la Bruja Cachavacha.",-34.612786,-58.370614,Arte y Cultura
26,Palacio San Martin,"El Palacio San Martín, también llamado Palacio Anchorena, es la sede ceremonial de la Cancillería de la República Argentina, dependiente del Ministerio de Relaciones Exteriores y está situado frente a la Plaza San Martín en el barrio de Retiro de Buenos Aires.",-34.593933,-58.378025,Monumentos
27,Ex-Embajada de Israel,"Actualmente el sitio en el que se encontraba la embajada de Israel ha sido preservado como un sitio para la memoria. Allí se ha preservado una parte del muro original de la embajada; los nombres de los Fallecidos han sido colocados en una placa y se plantaron dos líneas de tilos, cada uno de ellos simbolizando de una manera firme de recordar a cada una de las personas fallecidas. También allí se encuentra el monumento a las víctimas y al Estado de Israel por el atentado. La plaza fue inaugurada el 17 de marzo del año 2000.

Cada 17 de marzo a las 15:00, se recuerda a las víctimas del atentado en esta plaza de la memoria.

La embajada hoy en día funciona en el décimo piso de la Torre La Buenos Aires, en la Avenida de Mayo.",-34.591523,-58.380422,Monumentos
28,Embajada de Francia,"La Embajada de Francia en Argentina es la misión diplomática de la República Francesa en la República Argentina. La embajada está situada en el Palacio Ortiz Basualdo de la Ciudad de Buenos Aires y el actual embajador es Jean-Michel Casa desde 2013. El Consulado General de Francia se inauguró oficialmente el 21 de septiembre de 2009 en el número 1253 de la calle Basavilbaso, a pocas cuadras de la Cancillería Argentina.",-34.591698,-58.382551,Monumentos
29,Embajada de Brasil,"La Embajada de Brasil en Buenos Aires es la principal misión diplomática de Brasil en Argentina .

Se encuentra al principio de la Avenida Alvear y al otro lado de la Plaza Carlos Pellegrini. El edificio-sede es de gran importancia histórica, siendo uno de los palacios de la burguesía porteña de principios del siglo XX. Originalmente residencia privada, fue adquirida en 1945 por el gobierno brasileño para su sede diplomática. ",-34.592171,-58.38296,Monumentos
30,Árbol Patrimonio Histórico,"El árbol está donde termina la avenida Presidente Quintana y es vecino destacado de la Basílica del Pilar y de la entrada al famoso cementerio. Por supuesto, no pasa desapercibido: su base está cercana a los diez metros de diámetro, su copa ronda los cuarenta metros de altura y algunas de sus ramas superan los treinta metros, lo que obligó a colocar puntales de hierro para sostenerlas. Pertenece a la especie conocida como ficus elástica, un tipo de árbol que se caracteriza por desarrollar raíces aéreas y fuertes que le permitan un buen anclaje al piso. Esa es la clave para después poder expandir esas ramas horizontales que, en este ejemplar y en algunos tramos, tienen más de un metro de diámetro.",-34.587676,-58.391067,Arte y Cultura
31,Iglesia Nuestra Señora del Pilar,La iglesia de Nuestra Señora del Pilar es una basílica ubicada en el barrio de Recoleta en la ciudad de Buenos Aires; en su día formó parte del convento de Franciscanos recoletos. Su construcción —que concluyó en el año 1732— se debe al mecenas aragonés Juan de Narbona. Desde el siglo XIX es una de las parroquias de la ciudad de Buenos Aires y el segundo templo más antiguo de la ciudad.,-34.586839,-58.391977,Arte y Cultura
32,Museo Fragata Sarmiento,"En el período noviembre 1888 - junio 1889, la Corbeta La Argentina cumplió el cuarto viaje de aplicación de los cadetes de la Escuela Naval Militar. Esa nave iba al mando del Capitán de Navío Martín Rivadavia, quien comprobó que La Argentina presentaba defectos que hacían necesario su reemplazo por otra nave que estuviera provista de los más modernos elementos de la náutica y la hiciera idónea para cubrir adecuadamente la tarea de buque-escuela.

Fue así que en 1893 el capitán Rivadavia elevó al señor jefe del Estado Mayor General de Marina, Contraalmirante Daniel de Solier, un proyecto para construir un buque-escuela para la Armada Argentina.",-34.6089,-58.365645,Arte y Cultura
33,Puente de La Mujer,"l puente de la Mujer es un puente atirantado de pilón contrapeso diseñado por el arquitecto español Santiago Calatrava en la Ciudad de Buenos Aires, Argentina. Es la primera de sus obras en América Latina (seguida por el Museu do Amanhã en Rio de Janeiro) y se encuentra ubicada en el Dique 3 de Puerto Madero, en Pierina Dealessi y Manuela Gorriti.",-34.607952,-58.365126,Monumento
34,Vivero Reserva Ecológica,"Entre Puerto Madero y el Río de la Plata se encuentra la primer Área Natural Protegida de la Ciudad de Buenos Aires. A solo pocas cuadras del centro, este espacio verde de 350 hectáreas deja atrás rascacielos y torres y da paso a lagunas y bañados, bosques de alisos y cortaderales.
Pero la reserva no siempre estuvo ahí, en ese espacio al sur de la ciudad, delimitado al este por el río, al oeste por la avenida Intendente Hernán M. Giralt y la avenida Achával Rodríguez, al sur por la Ciudad Deportiva de Boca Juniors y al norte por el malecón de Puerto Nuevo. Conocer su historia es conocer una de las formas en que la naturaleza y la ciudad pueden convivir.

Antes, entre 1918 y 1950, en la Costanera Sur funcionó el Balneario Municipal. Allí iban los habitantes de Buenos Aires a disfrutar de un día junto al Río de la Plata; se bañaban en las aguas o disfrutaban de una cerveza en La Munich, la cervecería más importante del paseo de la costanera. Pero cuando el deterioro de las aguas empeoró, los porteños fueron dejando atrás este paseo.",-34.598156,-58.361803,Parques
35,Bosques de Palermo,"El Parque 3 de Febrero, conocido popularmente como Bosques de Palermo, es un conjunto de parques que se destacan por sus arboledas, lagos y rosedal, de una extensión cercana a las 40 ha, ubicado en el barrio de Palermo, en Buenos Aires, Argentina, que conforma la zona verde más popular de la ciudad y en cuyo diseño sobresalió el paisajista Charles Thays.",-34.571232,-58.417318,Parques
36,El Rosedal de Palermo,"El Rosedal de Palermo, también llamado Paseo del Rosedal, es un tradicional parque ubicado en el barrio de Palermo de la ciudad de Buenos Aires que integra el conjunto conocido como Parque Tres de Febrero. En sus 3,4 hectáreas posee 18.000 rosales y se encuentran emplazadas numerosas obras de arte, entre ellos 26 bustos de poetas y escritores, un puente griego y un patio andaluz.

Fue declarado Patrimonio Cultural de la Ciudad de Buenos Aires por la legislatura porteña el 14 de abril de 2011, lo que implica que cualquier restauración o trabajo nuevo que se le haga debe respetar el diseño original.

Obtuvo en 2012 y 2014 la distinción internacional Garden Excellence Award de la Federación Mundial de las Sociedades de la Rosa.",-34.570589,-58.417289,Parques
37,Jardín Japones,"El jardín japonés forma parte integrante de la tradición en las casas privadas de Japón, en la vecindad de los parques de las ciudades, en los templos Budistas o capillas Sintoistas, y en lugares históricos tal como viejos castillos. Muchos de los jardines japoneses más famosos en Occidente, y así mismo dentro del propio Japón, son los jardines Zen. La tradición de la Ceremonia del Té, ha generado jardines japoneses refinados en un grado sumo de cualquier otro estilo, que evocan la simpleza rural.

Surge muy pronto, ya en la era Heian, como arte importado de China. Se desarrollará durante las eras Kamakura, Muromachi, Momoyama y el periodo Edo hasta los jardines de la actualidad.",-34.576155,-58.409675,Parques
38,Jardín Botánico Carlos Thays,"Los Jardines Botánicos del latín hortus botanicus, son instituciones habilitadas por un organismo público, privado o asociativo (en ocasiones la gestión es mixta) cuyo objetivo es el estudio, la conservación y divulgación de la diversidad vegetal. Se caracterizan por exhibir colecciones científicas de plantas vivas, que se cultivan para conseguir alguno de estos objetivos: su conservación, investigación, divulgación y enseñanza.",-34.582478,-58.417361,Parques
39,Planetario Galileo Galilei,"El Planetario Galileo Galilei está ubicado en la intersección de Avenida General Sarmiento y Belisario Roldán, dentro del Parque Tres de Febrero, en el barrio de Palermo, en la ciudad de Buenos Aires, Argentina.

Su cúpula tiene 20 m de diámetro. Sobre ella pueden llegar a reproducirse 8900 estrellas fijas, constelaciones y nebulosas.

Su primera función se realizó en junio de 1967 y en 2011 sufrió una serie de reformas de gran importancia.

",-34.569641,-58.411647,Arte y Cultura
40,Monumento de los Españoles,"El Monumento a La Carta Magna y las Cuatro Regiones Argentinas se encuentra situado en la ciudad de Buenos Aires, en la intersección de la Avenida del Libertador con la avenida General Sarmiento. Es conocido popularmente como Monumento de los españoles pues fue donado por la colectividad española en 1910 con motivo del centenario de la Revolución de Mayo. Es por lo tanto erróneo llamarlo, como muchas veces ocurre, ""a los españoles"".

El autor original de la obra fue el español Agustín Querol. Aunque la piedra de inauguración fue colocada en 1910, diversos inconvenientes retrasaron la finalización de la obra, que finalmente fue inaugurada en 1927.",-34.574916,-58.415052,Monumentos
41,Estadio Alberto J. Armando,La Bombonera,-34.63552005,-58.36464549,Arte y Cultura
42,Estadio Antonio Vespucio Liberti,El Monumental,-34.54518246,-58.44985,Arte y Cultura
